authority,library,reason,number_of_bills,total_billed
Somerset,SOGLA,CHARGE,3301,7251.15
Somerset,SOGLA,DAMAGE,2,9
Somerset,SOGLA,GROUP,26,138.9
Somerset,SOGLA,HOLD,1738,1827.5
Somerset,SOGLA,ILL,3,12
Somerset,SOGLA,LOST,133,870
Somerset,SOGLA,LOSTCARD,65,130
Somerset,SOGLA,OVERDUE,3550,4294.25
Somerset,SOGLA,PROCESSFEE,30,0
Somerset,SOGLA,SALENOVAT,4,7.1
Somerset,SOGLA,SALEVAT,10,15.98
Somerset,SOHDQ,CHARGE,67,131.00
Somerset,SOHDQ,HOLD,6,18
Somerset,SOHDQ,ILL,1,3
Somerset,SOHDQ,LOST,4,37
Somerset,SOHDQ,OVERDUE,30,48.80
Somerset,SOHDQ,PROCESSFEE,3,0
Somerset,SOHIB,CHARGE,24,46.00
Somerset,SOHIB,HOLD,197,201
Somerset,SOHIB,LOST,14,66
Somerset,SOHIB,LOSTCARD,10,20
Somerset,SOHIB,OVERDUE,204,149.50
Somerset,SOILM,CHARGE,167,334.5
Somerset,SOILM,DAMAGE,5,20
Somerset,SOILM,GROUP,11,60.5
Somerset,SOILM,HOLD,918,1145.5
Somerset,SOILM,ILL,3,12
Somerset,SOILM,LOST,66,288
Somerset,SOILM,LOSTCARD,4,8
Somerset,SOILM,OVERDUE,1570,1424.25
Somerset,SOILM,PROCESSFEE,13,0
Somerset,SOILM,SALENOVAT,3,16.5
Somerset,SOLAN,CHARGE,1371,2904.25
Somerset,SOLAN,GROUP,89,489.5
Somerset,SOLAN,HOLD,1550,1596.0
Somerset,SOLAN,ILL,2,8
Somerset,SOLAN,LOST,176,1064.95
Somerset,SOLAN,LOSTCARD,8,16
Somerset,SOLAN,OVERDUE,3127,2882.40
Somerset,SOLAN,PROCESSFEE,9,0
Somerset,SOLAN,SALEVAT,1,0.12
Somerset,SOMAR,CHARGE,540,1194.75
Somerset,SOMAR,DAMAGE,9,54.98
Somerset,SOMAR,GROUP,50,275.0
Somerset,SOMAR,HOLD,680,677.5
Somerset,SOMAR,ILL,1,4
Somerset,SOMAR,LOST,57,263
Somerset,SOMAR,LOSTCARD,9,18
Somerset,SOMAR,OVERDUE,1832,1418.15
Somerset,SOMAR,PROCESSFEE,23,0
Somerset,SOMIN,BFR,5,50.96
Somerset,SOMIN,CHARGE,1601,3577.25
Somerset,SOMIN,DAMAGE,5,48.97
Somerset,SOMIN,GROUP,122,666.5
Somerset,SOMIN,HOLD,2156,2198.75
Somerset,SOMIN,ILL,3,12
Somerset,SOMIN,LOST,103,660.65
Somerset,SOMIN,LOSTCARD,59,117
Somerset,SOMIN,OVERDUE,3505,3117.40
Somerset,SOMIN,PROCESSFEE,33,0
Somerset,SOMIN,SALENOVAT,2,3.6
Somerset,SOMIN,SALEVAT,8,18.66
Somerset,SOMPT,CHARGE,136,291.15
Somerset,SOMPT,GROUP,24,132.0
Somerset,SOMPT,HOLD,311,309.5
Somerset,SOMPT,LOST,11,103
Somerset,SOMPT,OVERDUE,477,299.90
Somerset,SOMPT,PROCESSFEE,1,0
Somerset,SONES,CHARGE,96,183.50
Somerset,SONES,GROUP,7,38.5
Somerset,SONES,HOLD,490,486.5
Somerset,SONES,LOST,39,196
Somerset,SONES,LOSTCARD,5,10
Somerset,SONES,OVERDUE,714,596.20
Somerset,SONPN,CHARGE,29,58
Somerset,SONPN,GROUP,18,99.5
Somerset,SONPN,HOLD,428,423.0
Somerset,SONPN,LOST,18,113
Somerset,SONPN,LOSTCARD,9,18
Somerset,SONPN,OVERDUE,485,289.45
Somerset,SONPN,PROCESSFEE,1,0
Somerset,SOPAL,CHARGE,12,23.75
Somerset,SOPAL,HOLD,9,19.5
Somerset,SOPAL,LOST,2,70
Somerset,SOPAL,OVERDUE,446,644.85
Somerset,SOPAL,SALENOVAT,1,0.1
Somerset,SOPOR,CHARGE,46,96
Somerset,SOPOR,DAMAGE,1,4
Somerset,SOPOR,GROUP,24,132.0
Somerset,SOPOR,HOLD,256,260
Somerset,SOPOR,ILL,1,4
Somerset,SOPOR,LOST,12,129
Somerset,SOPOR,LOSTCARD,1,2
Somerset,SOPOR,OVERDUE,378,324.50
Somerset,SOPOR,PROCESSFEE,1,0
Somerset,SOPRW,BFR,2,14
Somerset,SOPRW,CHARGE,106,221.0
Somerset,SOPRW,GROUP,14,77.0
Somerset,SOPRW,HOLD,506,530.0
Somerset,SOPRW,LOST,63,282
Somerset,SOPRW,LOSTCARD,3,6
Somerset,SOPRW,OVERDUE,1271,919.45
Somerset,SOPRW,PROCESSFEE,4,0
Somerset,SOPRW,SALEVAT,1,0.21
Somerset,SOSDI,OVERDUE,4,4.4
Somerset,SOSHM,BFR,7,59.17
Somerset,SOSHM,CHARGE,921,1898.15
Somerset,SOSHM,DAMAGE,1,4
Somerset,SOSHM,GROUP,70,383.5
Somerset,SOSHM,HOLD,1347,1487.35
Somerset,SOSHM,ILL,8,32
Somerset,SOSHM,LOST,114,692.94
Somerset,SOSHM,LOSTCARD,34,68
Somerset,SOSHM,OVERDUE,2375,2021.30
Somerset,SOSHM,PRIVILEGE,1,5
Somerset,SOSHM,PROCESSFEE,51,0
Somerset,SOSHM,SALENOVAT,3,4
Somerset,SOSHM,SALEVAT,1,0.83
Somerset,SOSOM,CHARGE,688,1485.5
Somerset,SOSOM,DAMAGE,5,77.34
Somerset,SOSOM,GROUP,71,390.5
Somerset,SOSOM,HOLD,1068,1073.5
Somerset,SOSOM,LOST,62,340.97
Somerset,SOSOM,LOSTCARD,5,10
Somerset,SOSOM,OVERDUE,1923,1536.85
Somerset,SOSOM,PRIVILEGE,1,5.5
Somerset,SOSOM,PROCESSFEE,3,0
Somerset,SOSOM,SALENOVAT,1,0.4
Somerset,SOSPN,CHARGE,108,208.25
Somerset,SOSPN,DAMAGE,4,32.97
Somerset,SOSPN,GROUP,6,33.0
Somerset,SOSPN,HOLD,593,592.5
Somerset,SOSPN,LOST,22,112
Somerset,SOSPN,LOSTCARD,7,14
Somerset,SOSPN,OVERDUE,557,539.75
Somerset,SOSPN,SALEVAT,1,5.12
Somerset,SOSTR,BFR,1,4
Somerset,SOSTR,CHARGE,1450,3186.55
Somerset,SOSTR,DAMAGE,2,8
Somerset,SOSTR,GROUP,45,247.5
Somerset,SOSTR,HOLD,1573,1598.5
Somerset,SOSTR,ILL,3,12
Somerset,SOSTR,LOST,132,673
Somerset,SOSTR,LOSTCARD,71,142
Somerset,SOSTR,OVERDUE,3471,3406.50
Somerset,SOSTR,PROCESSFEE,23,0
Somerset,SOSTR,SALENOVAT,8,9.85
Somerset,SOSTR,SALEVAT,19,22.00
Somerset,SOSUN,CHARGE,8,15.5
Somerset,SOSUN,DAMAGE,1,7
Somerset,SOSUN,HOLD,108,107.5
Somerset,SOSUN,LOST,8,36
Somerset,SOSUN,LOSTCARD,2,4
Somerset,SOSUN,OVERDUE,238,235.85
Somerset,SOTAM,CHARGE,94,188
Somerset,SOTAM,HOLD,59,58.5
Somerset,SOTAM,LOST,273,1579.89
Somerset,SOTAM,PROCESSFEE,6,0
Somerset,SOTAU,BFR,207,1897.44
Somerset,SOTAU,CHARGE,10525,20939.90
Somerset,SOTAU,DAMAGE,38,235.83
Somerset,SOTAU,GROUP,205,1099.95
Somerset,SOTAU,HOLD,6124,6404.32
Somerset,SOTAU,ILL,5,20
Somerset,SOTAU,LOST,957,6000.58
Somerset,SOTAU,LOSTCARD,202,403.5
Somerset,SOTAU,OVERDUE,21095,24696.30
Somerset,SOTAU,PROCESSFEE,223,0
Somerset,SOTAU,SALENOVAT,36,636.09
Somerset,SOTAU,SALEVAT,33,87.27
Somerset,SOWAT,BFR,3,35.97
Somerset,SOWAT,CHARGE,171,330.40
Somerset,SOWAT,DAMAGE,2,15.98
Somerset,SOWAT,HOLD,273,273.5
Somerset,SOWAT,LOST,6,44
Somerset,SOWAT,LOSTCARD,16,32
Somerset,SOWAT,OVERDUE,479,426.40
Somerset,SOWCN,BFR,1,4
Somerset,SOWCN,CHARGE,721,1554.35
Somerset,SOWCN,GROUP,102,536.0
Somerset,SOWCN,HOLD,1427,1525.5
Somerset,SOWCN,ILL,1,4
Somerset,SOWCN,LOST,45,253
Somerset,SOWCN,LOSTCARD,23,46
Somerset,SOWCN,OVERDUE,2005,1393.60
Somerset,SOWCN,PROCESSFEE,13,0
Somerset,SOWCN,SALENOVAT,8,19
Somerset,SOWCN,SALEVAT,1,6.25
Somerset,SOWIL,BFR,4,26.96
Somerset,SOWIL,CHARGE,802,1703.50
Somerset,SOWIL,DAMAGE,1,7
Somerset,SOWIL,GROUP,37,198.4
Somerset,SOWIL,HOLD,834,843.0
Somerset,SOWIL,LOST,43,219.49
Somerset,SOWIL,LOSTCARD,18,36
Somerset,SOWIL,OVERDUE,1645,1223.90
Somerset,SOWIL,PROCESSFEE,4,0
Somerset,SOWIV,BFR,1,1.35
Somerset,SOWIV,CHARGE,153,313.00
Somerset,SOWIV,DAMAGE,2,16.98
Somerset,SOWIV,GROUP,34,217.5
Somerset,SOWIV,HOLD,699,767.0
Somerset,SOWIV,LOST,36,195.17
Somerset,SOWIV,OVERDUE,1090,1052.05
Somerset,SOWIV,PRIVILEGE,2,48.65
Somerset,SOWIV,PROCESSFEE,15,0
Somerset,SOWIV,SALENOVAT,3,13.8
Somerset,SOWLM,CHARGE,20,40
Somerset,SOWLM,HOLD,8,7.0
Somerset,SOWLM,LOST,38,242
Somerset,SOWLM,PROCESSFEE,15,0
Somerset,SOWLN,BFR,11,69.89
Somerset,SOWLN,CHARGE,1607,3462.85
Somerset,SOWLN,DAMAGE,13,97.98
Somerset,SOWLN,GROUP,80,440.5
Somerset,SOWLN,HOLD,2408,2603.5
Somerset,SOWLN,ILL,2,8
Somerset,SOWLN,LOST,168,1045.64
Somerset,SOWLN,LOSTCARD,19,38
Somerset,SOWLN,OVERDUE,4534,5272.80
Somerset,SOWLN,PROCESSFEE,39,0
Somerset,SOWLN,SALENOVAT,8,17.1
Somerset,SOWLN,SALEVAT,2,5.87
Somerset,SOWLS,BFR,2,4.2
Somerset,SOWLS,CHARGE,3818,8305.95
Somerset,SOWLS,DAMAGE,11,40.94
Somerset,SOWLS,GROUP,124,642.05
Somerset,SOWLS,HOLD,2912,3139.65
Somerset,SOWLS,ILL,3,12
Somerset,SOWLS,LOST,186,1074.98
Somerset,SOWLS,LOSTCARD,119,239
Somerset,SOWLS,OVERDUE,6699,7562.30
Somerset,SOWLS,PRIVILEGE,3,3.3
Somerset,SOWLS,PROCESSFEE,90,0
Somerset,SOWLS,SALENOVAT,8,10.50
Somerset,SOWLS,SALEVAT,12,64.84
Somerset,SOYEO,BFR,24,168
Somerset,SOYEO,CHARGE,4371,8804.70
Somerset,SOYEO,DAMAGE,15,91.98
Somerset,SOYEO,GROUP,60,330.0
Somerset,SOYEO,HOLD,3059,3102.95
Somerset,SOYEO,LOST,595,3909.88
Somerset,SOYEO,LOSTCARD,119,244
Somerset,SOYEO,OVERDUE,11636,12682.55
Somerset,SOYEO,PROCESSFEE,160,0
Somerset,SOYEO,SALENOVAT,7,36.60
Somerset,SOYEO,SALEVAT,4,6.70
South Gloucestershire,SGBS,CHARGE,4812,5687.2
South Gloucestershire,SGBS,DAMAGE,2,8.49
South Gloucestershire,SGBS,GROUP,70,277
South Gloucestershire,SGBS,HOLD,1573,1258.3
South Gloucestershire,SGBS,ILL,2,34
South Gloucestershire,SGBS,LOST,2037,10345.02
South Gloucestershire,SGBS,OVERDUE,4624,7527.7
South Gloucestershire,SGBS,PRIVILEGE,1,1
South Gloucestershire,SGBS,PROCESSFEE,31,4
South Gloucestershire,SGBS,SALENOVAT,7,33.7
South Gloucestershire,SGBS,SALEVAT,4,7.09
South Gloucestershire,SGCH,CHARGE,885,1087.4
South Gloucestershire,SGCH,DAMAGE,1,5.99
South Gloucestershire,SGCH,GROUP,27,108
South Gloucestershire,SGCH,HOLD,562,446.1
South Gloucestershire,SGCH,LOST,467,2506.90
South Gloucestershire,SGCH,OVERDUE,1170,1202.5
South Gloucestershire,SGCH,PROCESSFEE,9,12.98
South Gloucestershire,SGCH,SALEVAT,2,1.50
South Gloucestershire,SGCS,CHARGE,495,631.0
South Gloucestershire,SGCS,GROUP,5,20
South Gloucestershire,SGCS,HOLD,464,318.4
South Gloucestershire,SGCS,LOST,76,413
South Gloucestershire,SGCS,OVERDUE,510,526.6
South Gloucestershire,SGDO,CHARGE,1843,2258.0
South Gloucestershire,SGDO,DAMAGE,1,4
South Gloucestershire,SGDO,GROUP,47,192
South Gloucestershire,SGDO,HOLD,1114,929.3
South Gloucestershire,SGDO,LOST,1403,8026.40
South Gloucestershire,SGDO,OVERDUE,2799,3664.7
South Gloucestershire,SGDO,PROCESSFEE,4,0
South Gloucestershire,SGDO,SALENOVAT,13,18.4
South Gloucestershire,SGDO,SALEVAT,5,11.49
South Gloucestershire,SGDZ,OVERDUE,10,7.6
South Gloucestershire,SGEG,CHARGE,2899,3569.2
South Gloucestershire,SGEG,DAMAGE,4,25.57
South Gloucestershire,SGEG,GROUP,16,60
South Gloucestershire,SGEG,HOLD,956,849.1
South Gloucestershire,SGEG,LOST,1182,5605.95
South Gloucestershire,SGEG,LOSTCARD,3,1.5
South Gloucestershire,SGEG,OVERDUE,2732,3750.1
South Gloucestershire,SGEG,PRIVILEGE,1,0.1
South Gloucestershire,SGEG,PROCESSFEE,12,0
South Gloucestershire,SGEG,SALENOVAT,6,9.75
South Gloucestershire,SGEG,SALEVAT,2,7.08
South Gloucestershire,SGEP,HOLD,143,143
South Gloucestershire,SGEP,LOST,919,8041.0
South Gloucestershire,SGEP,PROCESSFEE,491,0
South Gloucestershire,SGFT,CHARGE,1250,1628.8
South Gloucestershire,SGFT,GROUP,24,90
South Gloucestershire,SGFT,HOLD,802,719.0
South Gloucestershire,SGFT,LOST,835,4563.96
South Gloucestershire,SGFT,OVERDUE,2403,3503.8
South Gloucestershire,SGFT,PRIVILEGE,1,0.1
South Gloucestershire,SGFT,PROCESSFEE,6,0
South Gloucestershire,SGFT,SALENOVAT,5,9.4
South Gloucestershire,SGFT,SALEVAT,11,6.43
South Gloucestershire,SGHH,CHARGE,1977,2411.5
South Gloucestershire,SGHH,GROUP,44,176
South Gloucestershire,SGHH,HOLD,1108,856.0
South Gloucestershire,SGHH,LOST,1148,5590.49
South Gloucestershire,SGHH,OVERDUE,2866,3982.4
South Gloucestershire,SGHH,PROCESSFEE,7,0
South Gloucestershire,SGHH,SALENOVAT,3,4.5
South Gloucestershire,SGHH,SALEVAT,8,11.16
South Gloucestershire,SGKI,CHARGE,1987,2379.5
South Gloucestershire,SGKI,DAMAGE,1,0.05
South Gloucestershire,SGKI,GROUP,1,4
South Gloucestershire,SGKI,HOLD,910,675.1
South Gloucestershire,SGKI,LOST,1054,5956.96
South Gloucestershire,SGKI,OVERDUE,2807,3520.5
South Gloucestershire,SGKI,PRIVILEGE,1,0.6
South Gloucestershire,SGKI,PROCESSFEE,6,0
South Gloucestershire,SGKI,SALEVAT,3,2.49
South Gloucestershire,SGLP,HOLD,229,229
South Gloucestershire,SGLP,LOST,8,71
South Gloucestershire,SGPA,CHARGE,562,694.5
South Gloucestershire,SGPA,GROUP,13,52
South Gloucestershire,SGPA,HOLD,455,326.1
South Gloucestershire,SGPA,LOST,703,4288.99
South Gloucestershire,SGPA,OVERDUE,1165,1789.7
South Gloucestershire,SGPA,PRIVILEGE,3,1.6
South Gloucestershire,SGPA,PROCESSFEE,5,0
South Gloucestershire,SGPA,SALENOVAT,26,22.8
South Gloucestershire,SGPA,SALEVAT,4,2.75
South Gloucestershire,SGST,BFR,2,0.4
South Gloucestershire,SGST,CHARGE,1612,2037.0
South Gloucestershire,SGST,DAMAGE,1,0.1
South Gloucestershire,SGST,GROUP,24,96
South Gloucestershire,SGST,HOLD,724,510.4
South Gloucestershire,SGST,LOST,719,4030.97
South Gloucestershire,SGST,OVERDUE,2206,2758.4
South Gloucestershire,SGST,PROCESSFEE,9,0
South Gloucestershire,SGST,SALENOVAT,4,5.2
South Gloucestershire,SGST,SALEVAT,2,0.25
South Gloucestershire,SGTH,CHARGE,2543,3384.1
South Gloucestershire,SGTH,DAMAGE,1,16.99
South Gloucestershire,SGTH,GROUP,97,484.1
South Gloucestershire,SGTH,HOLD,2179,1749.0
South Gloucestershire,SGTH,ILL,12,367
South Gloucestershire,SGTH,LOST,843,4192.04
South Gloucestershire,SGTH,LOSTCARD,3,1.5
South Gloucestershire,SGTH,OVERDUE,3186,3419.2
South Gloucestershire,SGTH,PROCESSFEE,13,7
South Gloucestershire,SGTH,SALENOVAT,4,13
South Gloucestershire,SGTH,SALEVAT,1,0.58
South Gloucestershire,SGWT,CHARGE,969,1204.8
South Gloucestershire,SGWT,DAMAGE,2,15.1
South Gloucestershire,SGWT,GROUP,57,225.5
South Gloucestershire,SGWT,HOLD,921,608.7
South Gloucestershire,SGWT,LOST,551,2787.11
South Gloucestershire,SGWT,OVERDUE,1436,1855.5
South Gloucestershire,SGWT,PROCESSFEE,3,0
South Gloucestershire,SGWT,SALENOVAT,2,3.0
South Gloucestershire,SGWT,SALEVAT,2,1.75
South Gloucestershire,SGYA,CHARGE,4244,5636.1
South Gloucestershire,SGYA,GROUP,13,62
South Gloucestershire,SGYA,HOLD,2924,2267.6
South Gloucestershire,SGYA,ILL,1,4
South Gloucestershire,SGYA,LOST,1935,11606.25
South Gloucestershire,SGYA,LOSTCARD,3,1.5
South Gloucestershire,SGYA,OVERDUE,6627,10464.8
South Gloucestershire,SGYA,PROCESSFEE,28,0
South Gloucestershire,SGYA,SALENOVAT,15,21.1
South Gloucestershire,SGYA,SALEVAT,2,4
South Gloucestershire,SGYM,CHARGE,549,920
South Gloucestershire,SGYM,GROUP,1,0.01
South Gloucestershire,SGYM,HOLD,2,1.0
South Gloucestershire,SGYM,LOST,284,1995
South Gloucestershire,SGYM,OVERDUE,12,12.3
South Gloucestershire,SGYM,PROCESSFEE,2,0
South Gloucestershire,SGYZ,CHARGE,1,1.4
South Gloucestershire,SGYZ,HOLD,2,1.6
South Gloucestershire,SGYZ,OVERDUE,5,1.0
