authority,library,payment_type,number_of_payments,total_paid
North Somerset,NSWL,AUTOREFUND,2,4
North Somerset,NSWL,CANCEL,223,1023.97
North Somerset,NSWL,CASH,5650,4586.39
North Somerset,NSWL,CHEQUE,1,0.5
North Somerset,NSWL,CREDITACCT,6,2.8
North Somerset,NSWL,CREDITCARD,48,36.5
North Somerset,NSWL,DEBITCARD,590,1059.52
North Somerset,NSWL,FORGIVEN,884,1667.01
North Somerset,NSWL,NONE,3,4.5
North Somerset,NSWN,CANCEL,188,469.3
North Somerset,NSWN,CASH,3006,2548.55
North Somerset,NSWN,CREDITACCT,8,1.3
North Somerset,NSWN,FORGIVEN,148,211.99
North Somerset,NSWN,VOUCH,2,2
North Somerset,NSWO,CANCEL,707,1553.47
North Somerset,NSWO,CASH,5524,4832.81
North Somerset,NSWO,CREDITACCT,4,2.7
North Somerset,NSWO,FORGIVEN,344,577.70
North Somerset,NSWS,CANCEL,3110,14046.69
North Somerset,NSWS,CASH,11882,11941.82
North Somerset,NSWS,CHEQUE,65,683.0
North Somerset,NSWS,CREDITACCT,19,6.5
North Somerset,NSWS,FORGIVEN,1583,3732.73
North Somerset,NSWS,NONE,4,10.2
North Somerset,NSWS,VOUCH,3,3
Poole,POACQ,CANCEL,4,16
Poole,POACQ,CASH,156,276.45
Poole,POACQ,FORGIVEN,183,525.25
Poole,POACQ,NONE,7,7.6
Poole,POBRAN,CANCEL,252,605.80
Poole,POBRAN,CASH,2610,2915.89
Poole,POBRAN,FORGIVEN,480,1176.20
Poole,POBRAN,VOUCH,6,9.0
Poole,POBROA,CANCEL,610,1211.40
Poole,POBROA,CASH,8343,10228.64
Poole,POBROA,FORGIVEN,841,1777.90
Poole,POBROA,NONE,2,1.6
Poole,POBROA,VOUCH,73,133.8
Poole,POCACL,CANCEL,196,598.7
Poole,POCACL,CASH,3528,4020.50
Poole,POCACL,FORGIVEN,384,809.20
Poole,POCACL,VOUCH,4,23.0
Poole,POCAHE,CANCEL,207,303.2
Poole,POCAHE,CASH,1420,1677.40
Poole,POCAHE,FORGIVEN,146,276.05
Poole,POCAHE,VOUCH,6,10.0
Poole,POCREE,CANCEL,158,585.25
Poole,POCREE,CASH,1253,1341.20
Poole,POCREE,FORGIVEN,329,636.85
Poole,POCUST,CANCEL,6,2.2
Poole,POCUST,CASH,17,9.2
Poole,POCUST,FORGIVEN,19,6.0
Poole,POHAMW,CANCEL,336,944.70
Poole,POHAMW,CASH,1752,2185.60
Poole,POHAMW,CREDITCARD,8,45.1
Poole,POHAMW,DEBITCARD,84,226.3
Poole,POHAMW,FORGIVEN,258,605.20
Poole,POHAMW,NONE,1,1.5
Poole,POHAMW,VOUCH,1,1.5
Poole,POOAKD,CANCEL,139,310.35
Poole,POOAKD,CASH,1390,1533.70
Poole,POOAKD,FORGIVEN,258,559.80
Poole,POOAKD,NONE,1,2.5
Poole,POPARK,CANCEL,369,871.60
Poole,POPARK,CASH,2517,2829.15
Poole,POPARK,CHEQUE,12,18.0
Poole,POPARK,FORGIVEN,338,479.00
Poole,POPOOL,CANCEL,472,1173.98
Poole,POPOOL,CASH,12847,17923.61
Poole,POPOOL,CREDITCARD,21,37.4
Poole,POPOOL,DEBITCARD,99,214.65
Poole,POPOOL,FORGIVEN,878,2125.90
Poole,POPOOL,NONE,7,20.3
Poole,POPOOL,VOUCH,67,85.7
Poole,POROSS,CANCEL,297,692.50
Poole,POROSS,CASH,2265,3580.10
Poole,POROSS,DEBITCARD,28,69.2
Poole,POROSS,FORGIVEN,539,1576.75
Poole,POROSS,NONE,8,20.6
Poole,POROSS,VOUCH,3,4.5
Somerset,SOBHM,CANCEL,730,1732.15
Somerset,SOBHM,CASH,7416,9654.44
Somerset,SOBHM,CHEQUE,6,16.2
Somerset,SOBHM,CREDITACCT,5,6.3
Somerset,SOBHM,CREDITCARD,11,15.8
Somerset,SOBHM,FORGIVEN,409,627.59
Somerset,SOBHM,NONE,3,6.75
Somerset,SOBHM,VOUCH,1,3
Somerset,SOBLD,CANCEL,89,221.95
Somerset,SOBLD,CASH,574,612.05
Somerset,SOBLD,CREDITCARD,11,11.4
Somerset,SOBLD,DEBITCARD,16,21.1
Somerset,SOBLD,FORGIVEN,15,28.4
Somerset,SOBRN,CANCEL,63,141.80
Somerset,SOBRN,CASH,1089,923.15
Somerset,SOBRN,CREDITACCT,4,2.6
Somerset,SOBRN,CREDITCARD,6,5.6
Somerset,SOBRN,DEBITCARD,46,69.40
Somerset,SOBRN,FORGIVEN,103,183.40
Somerset,SOBRN,NONE,3,3
Somerset,SOBRW,CANCEL,1059,2609.00
Somerset,SOBRW,CASH,9119,10545.13
Somerset,SOBRW,CHEQUE,17,33.4
Somerset,SOBRW,CREDITACCT,14,10.00
Somerset,SOBRW,CREDITCARD,121,68.50
Somerset,SOBRW,DEBITCARD,156,304.59
Somerset,SOBRW,FORGIVEN,742,1173.36
Somerset,SOBRW,NONE,3,1.2
Somerset,SOCCY,CANCEL,11,67.2
Somerset,SOCCY,CASH,1612,1697.39
Somerset,SOCCY,CREDITACCT,1,1
Somerset,SOCCY,CREDITCARD,1,10
Somerset,SOCCY,DEBITCARD,13,26.6
Somerset,SOCCY,FORGIVEN,179,371.20
Somerset,SOCCY,VOUCH,1,2
Somerset,SOCHA,CANCEL,589,1561.27
Somerset,SOCHA,CASH,4296,4725.67
Somerset,SOCHA,CHEQUE,1,16
Somerset,SOCHA,CREDITACCT,10,1.80
Somerset,SOCHA,CREDITCARD,59,72.19
Somerset,SOCHA,DEBITCARD,406,509.65
Somerset,SOCHA,FORGIVEN,280,377.70
Somerset,SOCHA,VOUCH,3,4.2
Somerset,SOCHE,CANCEL,190,438.50
Somerset,SOCHE,CASH,3304,3966.53
Somerset,SOCHE,CHEQUE,14,13.85
Somerset,SOCHE,DEBITCARD,42,72.9
Somerset,SOCHE,FORGIVEN,192,247.63
Somerset,SOCHE,VOUCH,81,86.25
Somerset,SOCRS,CANCEL,1,0.6
Somerset,SOCRS,CASH,1,2.2
Somerset,SOCRW,CANCEL,553,1081.44
Somerset,SOCRW,CASH,5302,5493.44
Somerset,SOCRW,CREDITACCT,4,5.4
Somerset,SOCRW,FORGIVEN,370,435.00
Somerset,SOCRW,VOUCH,1,2
Somerset,SODUL,CANCEL,173,575.39
Somerset,SODUL,CASH,1415,1601.00
Somerset,SODUL,CREDITACCT,2,1.6
Somerset,SODUL,CREDITCARD,3,16.5
Somerset,SODUL,DEBITCARD,104,115.1
Somerset,SODUL,FORGIVEN,34,48.65
Somerset,SOFRO,CANCEL,1355,4131.04
Somerset,SOFRO,CASH,17797,21687.01
Somerset,SOFRO,CHEQUE,13,91.1
Somerset,SOFRO,CREDITACCT,21,18.40
Somerset,SOFRO,CREDITCARD,308,621.94
Somerset,SOFRO,DEBITCARD,2970,4744.97
Somerset,SOFRO,FORGIVEN,843,1321.06
Somerset,SOFRO,NONE,20,15.0
Somerset,SOFRO,VOUCH,5,10
Somerset,SOGLA,CANCEL,186,579.99
Somerset,SOGLA,CASH,7274,10360.20
Somerset,SOGLA,CHEQUE,1,4
Somerset,SOGLA,CREDITACCT,12,12.35
Somerset,SOGLA,CREDITCARD,72,156.24
Somerset,SOGLA,DEBITCARD,621,1161.65
Somerset,SOGLA,FORGIVEN,721,1417.11
Somerset,SOGLA,NONE,26,59.2
Somerset,SOGLA,VOUCH,2,4
Somerset,SOHDQ,CANCEL,36,287.15
Somerset,SOHDQ,CASH,41,54.40
Somerset,SOHDQ,CREDITACCT,5,5.40
Somerset,SOHDQ,FORGIVEN,95,100.21
Somerset,SOHDQ,NONE,19,69.3
Somerset,SOHIB,CANCEL,38,66.80
Somerset,SOHIB,CASH,456,445.85
Somerset,SOHIB,CHEQUE,7,7.6
Somerset,SOHIB,DEBITCARD,1,6
Somerset,SOHIB,FORGIVEN,7,4.0
Somerset,SOHIB,NONE,1,2.25
Somerset,SOILM,CANCEL,451,691.90
Somerset,SOILM,CASH,2187,2146.64
Somerset,SOILM,CREDITACCT,1,0.4
Somerset,SOILM,FORGIVEN,287,467.85
Somerset,SOLAN,CANCEL,636,1556.55
Somerset,SOLAN,CASH,5310,6470.40
Somerset,SOLAN,CHEQUE,4,8
Somerset,SOLAN,CREDITACCT,11,8.0
Somerset,SOLAN,DEBITCARD,1,6.4
Somerset,SOLAN,FORGIVEN,456,665.15
Somerset,SOLAN,VOUCH,17,42
Somerset,SOMAR,CANCEL,220,493.33
Somerset,SOMAR,CASH,2955,3213.20
Somerset,SOMAR,CHEQUE,1,10
Somerset,SOMAR,CREDITACCT,12,7.2
Somerset,SOMAR,FORGIVEN,192,301.68
Somerset,SOMIN,CANCEL,247,879.43
Somerset,SOMIN,CASH,6449,7968.29
Somerset,SOMIN,CREDITACCT,2,2.0
Somerset,SOMIN,CREDITCARD,50,117.90
Somerset,SOMIN,DEBITCARD,370,614.27
Somerset,SOMIN,FORGIVEN,307,447.74
Somerset,SOMIN,VOUCH,2,4
Somerset,SOMPT,CANCEL,103,200.75
Somerset,SOMPT,CASH,799,846.55
Somerset,SOMPT,FORGIVEN,105,91.75
Somerset,SONES,CANCEL,96,236.1
Somerset,SONES,CASH,1319,1180.45
Somerset,SONES,FORGIVEN,134,180.05
Somerset,SONPN,CANCEL,118,260.75
Somerset,SONPN,CASH,930,828.29
Somerset,SONPN,CREDITACCT,3,3
Somerset,SONPN,FORGIVEN,67,102.36
Somerset,SOPAL,CANCEL,33,210.00
Somerset,SOPAL,CASH,137,160.20
Somerset,SOPAL,CREDITCARD,17,39.0
Somerset,SOPAL,DEBITCARD,141,291.45
Somerset,SOPAL,FORGIVEN,92,129.65
Somerset,SOPOR,CANCEL,25,149.8
Somerset,SOPOR,CASH,567,826.00
Somerset,SOPOR,CREDITACCT,3,2.2
Somerset,SOPOR,DEBITCARD,8,11.4
Somerset,SOPOR,FORGIVEN,17,27.1
Somerset,SOPRW,CANCEL,246,332.73
Somerset,SOPRW,CASH,1519,1342.20
Somerset,SOPRW,CREDITACCT,1,0.2
Somerset,SOPRW,CREDITCARD,18,27.8
Somerset,SOPRW,DEBITCARD,108,201.47
Somerset,SOPRW,FORGIVEN,148,175.40
Somerset,SOSDI,CANCEL,7,34
Somerset,SOSHM,CANCEL,65,273.09
Somerset,SOSHM,CASH,4379,5077.50
Somerset,SOSHM,CHEQUE,4,24.4
Somerset,SOSHM,CREDITACCT,5,0.60
Somerset,SOSHM,CREDITCARD,4,7.00
Somerset,SOSHM,DEBITCARD,239,429.04
Somerset,SOSHM,FORGIVEN,420,806.39
Somerset,SOSHM,NONE,6,11.0
Somerset,SOSHM,VOUCH,2,4
Somerset,SOSOM,CANCEL,669,1066.88
Somerset,SOSOM,CASH,3352,3923.99
Somerset,SOSOM,CHEQUE,3,23.0
Somerset,SOSOM,CREDITACCT,1,1
Somerset,SOSOM,DEBITCARD,5,11.0
Somerset,SOSOM,FORGIVEN,87,101.35
Somerset,SOSOM,VOUCH,2,4
Somerset,SOSPN,CANCEL,94,241.64
Somerset,SOSPN,CASH,1223,1231.18
Somerset,SOSPN,CREDITACCT,3,3
Somerset,SOSPN,FORGIVEN,36,36.8
Somerset,SOSPN,NONE,8,6.4
Somerset,SOSTR,CANCEL,203,578.30
Somerset,SOSTR,CASH,5537,6942.84
Somerset,SOSTR,CREDITACCT,1,2
Somerset,SOSTR,CREDITCARD,39,30.70
Somerset,SOSTR,DEBITCARD,493,766.04
Somerset,SOSTR,FORGIVEN,364,569.68
Somerset,SOSTR,NONE,2,4
Somerset,SOSUN,CANCEL,27,59.0
Somerset,SOSUN,CASH,349,316.70
Somerset,SOSUN,CREDITACCT,1,1
Somerset,SOSUN,FORGIVEN,88,74.50
Somerset,SOTAM,CANCEL,144,749.02
Somerset,SOTAM,CASH,6,3.8
Somerset,SOTAM,FORGIVEN,150,211.35
Somerset,SOTAU,CANCEL,3416,8628.29
Somerset,SOTAU,CASH,26911,34027.45
Somerset,SOTAU,CHEQUE,4,11
Somerset,SOTAU,CREDITACCT,71,75.05
Somerset,SOTAU,CREDITCARD,800,1431.86
Somerset,SOTAU,DEBITCARD,4534,7213.85
Somerset,SOTAU,FORGIVEN,1135,2025.25
Somerset,SOTAU,NONE,1,2
Somerset,SOTAU,VOUCH,6,11
Somerset,SOWAT,CANCEL,18,40.5
Somerset,SOWAT,CASH,825,899.92
Somerset,SOWAT,CREDITACCT,2,0.4
Somerset,SOWAT,DEBITCARD,20,38.4
Somerset,SOWAT,FORGIVEN,57,161.39
Somerset,SOWCN,CANCEL,24,120.15
Somerset,SOWCN,CASH,4189,4749.65
Somerset,SOWCN,CREDITACCT,2,2
Somerset,SOWCN,CREDITCARD,4,13.6
Somerset,SOWCN,DEBITCARD,38,93.80
Somerset,SOWCN,FORGIVEN,337,565.90
Somerset,SOWIL,CANCEL,117,261.50
Somerset,SOWIL,CASH,3300,3829.11
Somerset,SOWIL,CREDITACCT,7,4.0
Somerset,SOWIL,DEBITCARD,81,122.85
Somerset,SOWIL,FORGIVEN,134,201.35
Somerset,SOWIV,CANCEL,173,497.65
Somerset,SOWIV,CASH,1794,1923.37
Somerset,SOWIV,CHEQUE,2,30.14
Somerset,SOWIV,CREDITACCT,32,27.60
Somerset,SOWIV,DEBITCARD,22,16.2
Somerset,SOWIV,FORGIVEN,208,253.20
Somerset,SOWIV,NONE,1,5.5
Somerset,SOWLM,CANCEL,33,161.5
Somerset,SOWLM,CASH,1,0.5
Somerset,SOWLM,DEBITCARD,12,10.55
Somerset,SOWLN,CANCEL,472,1180.47
Somerset,SOWLN,CASH,7694,9404.92
Somerset,SOWLN,CHEQUE,2,20.79
Somerset,SOWLN,CREDITACCT,10,7.0
Somerset,SOWLN,CREDITCARD,29,48.35
Somerset,SOWLN,DEBITCARD,466,923.55
Somerset,SOWLN,FORGIVEN,522,754.53
Somerset,SOWLN,VOUCH,2,4
Somerset,SOWLS,CANCEL,331,1016.78
Somerset,SOWLS,CASH,11005,14599.99
Somerset,SOWLS,CHEQUE,1,1
Somerset,SOWLS,CREDITACCT,18,18.35
Somerset,SOWLS,CREDITCARD,203,334.40
Somerset,SOWLS,DEBITCARD,1244,2265.38
Somerset,SOWLS,FORGIVEN,437,787.67
Somerset,SOWLS,NONE,3,5
Somerset,SOWLS,VOUCH,1,2
Somerset,SOYEO,CANCEL,1506,4471.55
Somerset,SOYEO,CASH,13987,16775.79
Somerset,SOYEO,CHEQUE,2,14
Somerset,SOYEO,CREDITACCT,22,23.20
Somerset,SOYEO,CREDITCARD,105,185.10
Somerset,SOYEO,DEBITCARD,1090,1776.06
Somerset,SOYEO,FORGIVEN,1408,2373.33
Somerset,SOYEO,NONE,1,5.5
Somerset,SOYEO,VOUCH,3,6
South Gloucestershire,SGBS,CANCEL,2470,8643.94
South Gloucestershire,SGBS,CASH,8992,9902.92
South Gloucestershire,SGBS,CREDITACCT,6,4.0
South Gloucestershire,SGBS,FORGIVEN,877,2177.87
South Gloucestershire,SGBS,NONE,3,2.2
South Gloucestershire,SGBS,VOUCH,297,295.0
South Gloucestershire,SGCC,CANCEL,1,10
South Gloucestershire,SGCH,CANCEL,339,1474.9
South Gloucestershire,SGCH,CASH,2169,2014.03
South Gloucestershire,SGCH,CREDITACCT,1,1.1
South Gloucestershire,SGCH,DEBITCARD,2,0.5
South Gloucestershire,SGCH,FORGIVEN,679,1161.39
South Gloucestershire,SGCH,NONE,4,25.96
South Gloucestershire,SGCH,VOUCH,65,66
South Gloucestershire,SGCS,CANCEL,183,382.7
South Gloucestershire,SGCS,CASH,1190,1062.40
South Gloucestershire,SGCS,DEBITCARD,2,2.8
South Gloucestershire,SGCS,FORGIVEN,202,252.9
South Gloucestershire,SGCS,VOUCH,21,21
South Gloucestershire,SGDO,CANCEL,1772,6815.54
South Gloucestershire,SGDO,CASH,4233,4284.28
South Gloucestershire,SGDO,CREDITACCT,3,1.4
South Gloucestershire,SGDO,DEBITCARD,2,3.9
South Gloucestershire,SGDO,FORGIVEN,1222,2578.69
South Gloucestershire,SGDO,NONE,4,5.3
South Gloucestershire,SGDO,VOUCH,73,75
South Gloucestershire,SGDZ,FORGIVEN,1,0.5
South Gloucestershire,SGEG,CANCEL,1477,4384.44
South Gloucestershire,SGEG,CASH,5574,5879.42
South Gloucestershire,SGEG,CREDITACCT,1,0.5
South Gloucestershire,SGEG,CREDITCARD,8,10.4
South Gloucestershire,SGEG,DEBITCARD,41,58.1
South Gloucestershire,SGEG,FORGIVEN,483,971.45
South Gloucestershire,SGEG,NONE,7,6.2
South Gloucestershire,SGEG,VOUCH,144,147.8
South Gloucestershire,SGEP,CANCEL,280,1569.5
South Gloucestershire,SGEP,CASH,1152,5783.0
South Gloucestershire,SGEP,FORGIVEN,18,51.8
South Gloucestershire,SGFT,CANCEL,991,3356.92
South Gloucestershire,SGFT,CASH,3615,3807.77
South Gloucestershire,SGFT,CREDITACCT,8,2.8
South Gloucestershire,SGFT,FORGIVEN,672,1243.39
South Gloucestershire,SGFT,VOUCH,72,74.7
South Gloucestershire,SGHH,CANCEL,924,3447.09
South Gloucestershire,SGHH,CASH,4753,4666.20
South Gloucestershire,SGHH,CREDITACCT,3,1.8
South Gloucestershire,SGHH,FORGIVEN,1292,2427.30
South Gloucestershire,SGHH,NONE,1,0
South Gloucestershire,SGHH,VOUCH,144,141.85
South Gloucestershire,SGKI,CANCEL,756,3400.14
South Gloucestershire,SGKI,CASH,5027,4890.15
South Gloucestershire,SGKI,CREDITACCT,2,0.7
South Gloucestershire,SGKI,DEBITCARD,1,3
South Gloucestershire,SGKI,FORGIVEN,801,1779.46
South Gloucestershire,SGKI,VOUCH,69,71
South Gloucestershire,SGLP,CANCEL,381,751.85
South Gloucestershire,SGLP,CASH,15,15
South Gloucestershire,SGLP,FORGIVEN,138,136.4
South Gloucestershire,SGPA,CANCEL,383,2399.79
South Gloucestershire,SGPA,CASH,1543,1444.05
South Gloucestershire,SGPA,CREDITACCT,1,0.8
South Gloucestershire,SGPA,DEBITCARD,6,3.5
South Gloucestershire,SGPA,FORGIVEN,955,2287.99
South Gloucestershire,SGPA,NONE,2,1.2
South Gloucestershire,SGPA,VOUCH,21,19.6
South Gloucestershire,SGST,CANCEL,1024,3422.09
South Gloucestershire,SGST,CASH,3782,3903.05
South Gloucestershire,SGST,CREDITACCT,3,1.4
South Gloucestershire,SGST,DEBITCARD,3,2.85
South Gloucestershire,SGST,FORGIVEN,614,927.07
South Gloucestershire,SGST,NONE,1,4
South Gloucestershire,SGST,VOUCH,80,80.1
South Gloucestershire,SGTH,CANCEL,706,2612.35
South Gloucestershire,SGTH,CASH,7023,7184.11
South Gloucestershire,SGTH,CHEQUE,10,402
South Gloucestershire,SGTH,CREDITACCT,11,5.2
South Gloucestershire,SGTH,CREDITCARD,1,1
South Gloucestershire,SGTH,DEBITCARD,3,3.6
South Gloucestershire,SGTH,FORGIVEN,1325,2542.13
South Gloucestershire,SGTH,NONE,51,84.05
South Gloucestershire,SGTH,VOUCH,148,146.1
South Gloucestershire,SGWT,CANCEL,1081,2965.07
South Gloucestershire,SGWT,CASH,2696,2627.15
South Gloucestershire,SGWT,CREDITACCT,1,1.1
South Gloucestershire,SGWT,FORGIVEN,179,280.8
South Gloucestershire,SGWT,VOUCH,67,65.6
South Gloucestershire,SGYA,CANCEL,3197,10676.44
South Gloucestershire,SGYA,CASH,10683,10847.66
South Gloucestershire,SGYA,CREDITACCT,15,10.3
South Gloucestershire,SGYA,DEBITCARD,1,4
South Gloucestershire,SGYA,FORGIVEN,1361,2777.85
South Gloucestershire,SGYA,NONE,9,12.2
South Gloucestershire,SGYA,VOUCH,302,321.8
South Gloucestershire,SGYM,CANCEL,641,3025.60
South Gloucestershire,SGYM,CASH,81,118.6
South Gloucestershire,SGYM,FORGIVEN,118,697.19
South Gloucestershire,SGYM,VOUCH,1,1
South Gloucestershire,SGYZ,CANCEL,1,4
South Gloucestershire,SGYZ,CASH,8,6.1
